1,Last crawled,From,to,URL,URL,
120,2025-11-16,https://murabaat.com/mdrsh-al-amtyaz-al-khash-alemtiaz-private-school,https://twsia.com/al-imtiaz-private-school,https://twsia.com/mdrsh-al-amtyaz-al-khash-alemtiaz-private-school,https://twsia.com/mdrsh-al-amtyaz-al-khash-alemtiaz-private-school,
121,2025-11-16,https://murabaat.com/mshfa-al-hryry,https://twsia.com/al-hariri-hospital,https://twsia.com/mshfa-al-hryry,https://twsia.com/mshfa-al-hryry,
122,2025-11-16,https://murabaat.com/category/educational-centers?page=5,https://twsia.com/category/educational-centers?page=5,,https://twsia.com/category/educational-centers?page=5,
123,2025-11-16,https://murabaat.com/fndq-hms-al-kbyr,https://twsia.com/homs-al-kbyr-hotel,https://twsia.com/fndq-hms-al-kbyr,https://twsia.com/fndq-hms-al-kbyr,
124,2025-11-16,https://murabaat.com/sbah-wmsaa,https://twsia.com/sbah-wmsaa,,https://twsia.com/sbah-wmsaa,
125,2025-11-16,https://murabaat.com/mdrsh-al-andls,https://twsia.com/al-andalus-school,https://twsia.com/mdrsh-al-andls,https://twsia.com/mdrsh-al-andls,
126,2025-11-16,https://murabaat.com/mdrsh-al-abaa-al-arby,https://twsia.com/al-abaa-arabi-school,https://twsia.com/mdrsh-al-abaa-al-arby,https://twsia.com/mdrsh-al-abaa-al-arby,
127,2025-11-16,https://murabaat.com/mshfa-al-sham-al-tby,https://twsia.com/al-sham-medical-hospital,https://twsia.com/mshfa-al-sham-al-tby,https://twsia.com/mshfa-al-sham-al-tby,
128,2025-11-16,https://murabaat.com/mjwhrat-al-aly,https://twsia.com/jewelry-al-aly,https://twsia.com/mjwhrat-al-aly,https://twsia.com/mjwhrat-al-aly,
129,2025-11-16,https://murabaat.com/deluca,https://twsia.com/deluca,,https://twsia.com/deluca,
130,2025-11-16,https://murabaat.com/yasmeen-dalep-boutique-hotel,https://twsia.com/yasmeen-dalep-boutique-hotel,,https://twsia.com/yasmeen-dalep-boutique-hotel,
131,2025-11-16,https://murabaat.com/mstshfa-al-dktwr-mhmd-dbyt,https://twsia.com/dr-mohamad-dbyt-hospital,,https://twsia.com/mstshfa-al-dktwr-mhmd-dbyt,
132,2025-11-16,https://murabaat.com/country/sy/city/aleppo/sub-area/azaz,https://twsia.com/mstshfa-al-dktwr-mhmd-dbyt,,https://twsia.com/country/sy/city/aleppo/sub-area/azaz,
133,2025-11-16,https://murabaat.com/country/sy/city/damascus/sub-area/aladawi,https://twsia.com/country/sy/city/aleppo/sub-area/azaz,https://twsia.com/country/sy/city/damascus/sub-area/aladawi,https://twsia.com/country/sy/city/damascus/sub-area/aladawi,
134,2025-11-16,https://murabaat.com/mstshfa-al-twlyd-al-askry,https://twsia.com/military-maternity-hospital,https://twsia.com/mstshfa-al-twlyd-al-askry,https://twsia.com/mstshfa-al-twlyd-al-askry,
135,2025-11-16,https://murabaat.com/mdrsh-al-mnarh-al-khash,https://twsia.com/al-manarah-private-school,https://twsia.com/mdrsh-al-mnarh-al-khash,https://twsia.com/mdrsh-al-mnarh-al-khash,
136,2025-11-16,https://murabaat.com/the-national-evangelical-school,https://twsia.com/the-national-evangelical-school,,https://twsia.com/the-national-evangelical-school,
